"=""0050""",元大台灣卓越50證券投資信託基金,,092/06/25
"=""00668""",國泰美國ETF傘型證券投資信託基金之道瓊工業平均指數證券投資信託基金,國泰證券投資信託股份有限公司,105/10/03
"=""00668K""",國泰道瓊工業平均指數證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,國泰證券投資信託股份有限公司,106/10/24
"=""00669R""",國泰美國ETF傘型證券投資信託基金之道瓊工業平均指數單日反向1倍證券投資信託基金,國泰證券投資信託股份有限公司,105/10/03
"=""00670L""",富邦NASDAQ-100 ETF 傘型證券投資信託基金之富邦NASDAQ-100單日正向兩倍證券投資信託基金,富邦證券投資信託股份有限公司,106/02/14
"=""00671R""",富邦NASDAQ-100 ETF傘型證券投資信託基金之富邦NASDAQ-100 單日反向一倍證券投資信託基金,富邦證券投資信託股份有限公司,105/02/14
"=""00672L""",元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日正向2倍指數股票型期貨信託基金,,105/09/30
"=""00673R""",元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日反向1倍指數股票型期貨信託基金,,105/09/30
"=""00674R""",元大標普油金傘型期貨信託基金之元大標普高盛黃金ER單日反向1倍指數股票型期貨信託基金,,105/09/30
"=""00675L""",富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日正向兩倍證券投資信託基金,富邦證券投資信託股份有限公司,105/09/23
"=""00676R""",富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日反向一倍證券投資信託基金,富邦證券投資信託股份有限公司,105/09/23
"=""00677U""",富邦標普500波動率短期期貨ER指數股票型期貨信託基金,富邦投信,105/12/22
"=""00678""",群益那斯達克生技證券投資信託基金,無,106/01/09
"=""00680L""",元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日正向2倍證券投資信託基金,,106/01/11
"=""00681R""",元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日反向1倍證券投資信託基金,,106/01/11
"=""00682U""",元大標普美元指數傘型期貨信託基金之元大標普美元ER指數股票型期貨信託基金,,106/03/06
"=""00683L""",元大標普美元指數傘型期貨信託基金之元大標普美元ER單日正向2倍指數股票型期貨信託基金,,106/03/06
"=""00684R""",元大標普美元指數傘型期貨信託基金之元大標普美元ER單日反向1倍指數股票型期貨信託基金,,106/03/06
"=""00685L""",群益臺灣加權指數ETF傘型證券投資信託基金之群益臺灣加權指數單日正向2倍證券投資信託基金,無,106/03/23
"=""00686R""",群益臺灣加權指數ETF傘型證券投資信託基金之群益臺灣加權指數單日反向1倍證券投資信託基金,無,106/03/23
"=""00688L""",國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日正向2倍證券投資信託基金,國泰證券投資信託股份有限公司,106/04/06
"=""00689R""",國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日反向1倍證券投資信託基金,國泰證券投資信託股份有限公司,106/04/06
"=""00690""",兆豐臺灣藍籌30ETF傘型證券投資信託基金之兆豐臺灣藍籌30 ETF證券投資信託基金,無,106/03/27
"=""00691R""",兆豐國際臺灣藍籌30ETF傘型證券投資信託基金之兆豐國際臺灣藍籌30單日反向一倍ETF證券投資信託基金,無,106/03/27
"=""00692""",富邦臺灣公司治理100證券投資信託基金,富邦證券投資信託股份有限公司,106/05/04
"=""00693U""",街口標普高盛黃豆ER指數股票型期貨信託基金,,106/04/17
"=""00698L""",元大美國政府7至10年期債券ETF傘型證券投資信託基金之元大美國政府7至10年期債券單日正向2倍證券投資信託基金,,106/06/15
"=""00699R""",元大美國政府7至10年期債券ETF傘型證券投資信託基金之元大美國政府7至10年期債券單日反向1倍證券投資信託基金,,106/06/15
"=""00700""",富邦恒生國企ETF證券投資信託基金,富邦證券投資信託股份有限公司,106/07/21
"=""00701""",國泰低波動ETF傘型證券投資信託基金之臺灣低波動股利精選30證券投資信託基金,國泰投信,106/08/09
"=""00702""",國泰低波動ETF傘型證券投資信託基金之美國標普500低波動高股息證券投資信託基金,國泰證券投資信託股份有限公司,106/08/09
"=""00703""",台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI中國證券投資信託基金,NA,106/08/02
"=""00704L""",台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI台灣單日正向2倍證券投資信託基金,NA,106/08/02
"=""00705R""",台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI台灣單日反向1倍證券投資信託基金,NA,106/08/02
"=""00706L""",元大標普金日傘型期貨信託基金之元大標普日圓ER單日正向2倍指數股票型期貨信託基金,,106/08/23
"=""00707R""",元大標普金日傘型期貨信託基金之元大標普日圓ER單日反向1倍指數股票型期貨信託基金,,106/08/23
"=""00708L""",元大標普金日傘型期貨信託基金之元大標普高盛黃金ER單日正向2倍指數股票型期貨信託基金,,106/08/23
"=""00709""",富邦富時歐洲ETF證券投資信託基金,富邦證券投資信託股份有限公司,106/08/07
"=""00710B""",復華全球收益ETF傘型證券投資信託基金之復華1至5年期非投資等級債券證券投資信託基金,,106/08/09
"=""00711B""",復華全球收益ETF傘型證券投資信託基金之復華新興市場10年期以上債券證券投資信託基金,,106/08/09
"=""00712""",復華全球收益ETF傘型證券投資信託基金之復華富時不動產證券化證券投資信託基金,,106/08/09
"=""00713""",元大台灣高股息低波動ETF證券投資信託基金,,106/09/19
"=""00714""",群益道瓊美國地產ETF證券投資信託基金,無,106/10/20
"=""00715L""",街口標普高盛布蘭特原油ER單日正向2倍指數股票型期貨信託基金,,106/11/08
"=""00716R""",華頓標普高盛布蘭特原油傘型期貨信託基金之華頓標普高盛布蘭特原油ER單日反向1倍指數股票型期貨信託基金,,106/11/08
"=""00717""",富邦標普美國特別股ETF證券投資信託基金,富邦證券投資信託股份有限公司,106/11/13
"=""00728""",第一金臺灣工業菁英30ETF傘型證券投資信託基金之第一金臺灣工業菁英30 ETF證券投資信託基金,無,107/04/10
"=""00729R""",第一金臺灣工業菁英30ETF傘型證券投資信託基金之第一金臺灣工業菁英30單日反向一倍ETF證券投資信託基金,無,107/04/10
"=""00730""",富邦道瓊臺灣優質高息30ETF證券投資信託基金,富邦證券投資信託股份有限公司,107/01/30
"=""00731""",復華富時台灣高股息低波動證券投資信託基金,,107/04/12
